Client,Time,Symbol,Quantity,Operation,Value
logDeneme,2022-07-26 15:14:00.565496,KRDMD,1,BUY,10.66
logDeneme,2022-07-26 15:14:04.980387,THYAO,100,BUY,5060.0
logDeneme,2022-07-26 15:14:09.523790,CCOLA,1,BUY,144.8
logDeneme,2022-07-26 15:14:29.526723,THYAO,40,SELL,-2024.0
logDeneme,2022-07-26 15:14:29.540818,CANTE,72,SELL,-3981.6
logDeneme,2022-07-26 15:14:29.553820,CCOLA,21,SELL,-3040.8
logDeneme,2022-07-26 15:14:29.566800,KRDMD,94,SELL,-1002.04
furkan,2022-07-26 15:15:38.320158,LOGO,500,BUY,21200.0
furkan,2022-07-26 15:15:44.003617,KRDMD,1000,BUY,10660.0
furkan,2022-07-26 15:15:54.362353,KRDMD,938,SELL,-9999.08
logDeneme,2022-07-26 15:49:57.358508,CANTE,739,REMOVE,40866.7
logDeneme,2022-07-26 15:49:57.369655,CCOLA,946,REMOVE,136980.80000000002
furkan,2022-07-27 08:29:33.550614,SISE,1000,BUY,20860.0
furkan,2022-07-27 08:30:24.279003,KRDMD,141,SELL,-1503.06
furkan,2022-07-27 08:30:24.290005,LOGO,47,SELL,-1992.8
furkan,2022-07-27 08:30:24.302004,SISE,72,SELL,-1501.92
furkan,2022-07-27 08:31:35.956504,KRDMD,94,SELL,-1002.04
furkan,2022-07-27 08:31:35.967496,LOGO,59,SELL,-2501.6
furkan,2022-07-27 08:31:35.979508,SISE,72,SELL,-1501.92
furkan,2022-07-27 08:33:48.970667,THYAO,6,SELL,-303.6
furkan,2022-07-27 08:33:48.982671,KRDMD,28,SELL,-298.48
furkan,2022-07-27 08:33:48.990885,LOGO,0,SELL,-0.0
furkan,2022-07-27 09:57:23.816545,KRDMD,28,SELL,-298.48
furkan,2022-07-27 09:57:23.826144,LOGO,7,SELL,-296.8
furkan,2022-07-27 09:57:23.837158,SISE,19,SELL,-396.34
furkan,2022-07-27 09:58:07.953879,KRDMD,75,SELL,-799.5
furkan,2022-07-27 09:58:07.964888,LOGO,28,SELL,-1187.2
furkan,2022-07-27 09:58:07.975141,SISE,0,SELL,-0.0
furkan,2022-07-27 10:10:51.889636,KRDMD,60,SELL,-639.6
furkan,2022-07-27 10:10:51.901637,LOGO,8,SELL,-339.2
furkan,2022-07-27 10:10:51.909630,SISE,0,SELL,-0.0
furkan,2022-07-27 10:21:41.519442,ARDYZ,70,SELL,-368.9
furkan,2022-07-27 10:21:41.528442,KRDMD,0,SELL,-0.0
furkan,2022-07-27 10:21:41.531443,LOGO,0,SELL,-0.0
furkan,2022-07-27 10:24:19.808104,ARDYZ,164,SELL,-864.28
furkan,2022-07-27 10:24:19.818115,KRDMD,0,SELL,-0.0
furkan,2022-07-27 10:24:19.823023,LOGO,9,SELL,-381.59999999999997
furkan,2022-07-27 10:38:51.447387,KRDMD,7,SELL,-74.62
furkan,2022-07-27 10:38:51.456922,LOGO,0,SELL,-0.0
furkan,2022-07-27 10:49:08.667214,ARDYZ,0,SELL,-0.0
furkan,2022-07-27 10:49:08.671214,KRDMD,0,SELL,-0.0
furkan,2022-07-27 10:49:08.684395,LOGO,9,SELL,-381.59999999999997
